SERIAL NO.,PLAYER NAME,CLUB,POSITION,ASSISTS,CORNER_TAKEN,OFFSIDES,DRIBBLES,MATCH_PLAYED,ASSISTS PER MATCH,OVERALL PERFORMANCE SCORE
1,Bruno Fernandes,Man. United,Midfielder,7,10,2,7,7,1,3.571428571
2,Vinicius Jr.,Real Madrid,Forward,6,3,4,83,13,0.461538462,7.269230769
3,Sane,Bayern,Midfielder,6,3,3,32,10,0.6,4.4
4,Antony,Ajax,Forward,5,3,4,28,7,0.714285714,5.357142857
5,Alexander-Arnold,Liverpool,Defender,4,36,0,9,9,0.444444444,3.888888889
6,De Bruyne,Man. City,Midfielder,4,18,0,14,10,0.4,3.1
7,Luka Modric,Real Madrid,Midfielder,4,10,0,8,13,0.307692308,1.615384615
8,Joao Mario,Benfica,Midfielder,4,8,0,7,8,0.5,2.375
9,Kylian Mbappe,Paris,Forward,4,4,8,43,8,0.5,6.125
10,Gerard Moreno,Villarreal,Forward,4,0,3,9,7,0.571428571,2.214285714
11,Capoue,Villarreal,Midfielder,4,0,0,17,12,0.333333333,2.083333333
12,Parejo,Villarreal,Midfielder,3,36,0,4,12,0.25,2.333333333
13,Grimaldo,Benfica,Defender,3,11,1,10,10,0.3,2.1
14,Müller,Bayern,Forward,3,10,8,2,10,0.3,0.9
15,Arnold,Wolfsburg,Midfielder,3,10,0,1,6,0.5,2
16,Angeliño,Leipzig,Defender,3,8,0,4,5,0.6,2.8
17,Coman,Bayern,Forward,3,4,4,59,9,0.333333333,7.222222222
18,Bernardo Silva,Man. City,Midfielder,3,2,3,18,11,0.272727273,2.136363636
19,Bellingham,Dortmund,Midfielder,3,1,1,24,6,0.5,5
20,Zapata,Atalanta,Forward,3,0,7,10,6,0.5,2.083333333
21,Lewandowski,Bayern,Forward,3,0,7,1,10,0.3,0.35
22,João Cancelo,Man. City,Defender,3,0,2,26,9,0.333333333,3.444444444
23,Cristiano Ronaldo,Sheriff,Defender,3,0,1,7,6,0.5,2.083333333
24,Mahrez,Man. City,Midfielder,2,30,5,28,12,0.166666667,3.708333333
25,Robertson,Liverpool,Defender,2,27,1,9,10,0.2,2.6
26,Ziyech,Chelsea,Midfielder,2,23,0,12,9,0.222222222,3.055555556
27,Gündoğan,Man. City,Midfielder,2,16,1,3,10,0.2,1.45
28,Tsimikas,Liverpool,Defender,2,16,0,4,5,0.4,3.2
29,Foden,Man. City,Midfielder,2,13,6,12,11,0.181818182,1.772727273
30,Md. Salah,Liverpool,Forward,2,0,5,49,13,0.153846154,3.884615385
